name,name_kana,site_url,catchphrase,description,area,postcode,address,tel,contact,business_hours,regular_holiday/business_holiday,fee,offical_url,access,parking_lot,barrier_free,kankonavi,memo,lat,lng
如来堂,ニョライドウ,https://www.aizukanko.com/spot/150,斎藤一を隊長とする会津新選組死闘の地,新選組殉難の地。母成峠の戦いに敗れた新選組は、北へ向かおうとする土方歳三らと会津に留まろうとする斎藤一らに分かれました。このとき斎藤一は「今、落城せんとするのを見て、志を捨て去る、誠義にあらず」（谷川史郎兵衛日記）と同意した隊士とともに会津へ残りました。明治元年(1868)年９月４日、城下に進出した新政府軍は、如来堂に立てこもる新選組を攻撃し激しい戦いを繰り広げました。このとき全員討ち死にしたとされています、実際は、斎藤一をはじめ数名が生き残りました。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0085,福島県会津若松市神指町如来堂,,,,,,,路線バス「黒川」下車、徒歩20分,,,,,37.508585,139.891188
大龍寺,ダイリュウジ,https://www.aizukanko.com/spot/206,藩祖保科正之によって開かれた由緒あるお寺。本堂には幽霊の足跡が・・,宝雲山と号し、保科正之が会津に転封となった時会津に移転してきた「お供寺」の一つです。当時は慶山寺という無住の寺で、そこに山形より正之に従って会津入りした機外禅師が入って開山した由緒あるお寺です。礼法小笠原の祖、小笠原長時などの墓や本堂には幽霊の足跡があります。京都高尾・嵐山より移植した「大龍寺のかえで」や、目黒浄定作の庭園も見事です。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0812,福島県会津若松市慶山2-7-23,0242-27-9376,,,,,,ハイカラさん・あかべぇ「慶山」下車 徒歩15分  ,,,,拝観自由,37.494937,139.950671
藩校日新館天文台跡（市指定史跡）,ハンコウニッシンカンテンモンダイアト,https://www.aizukanko.com/spot/148,会津藩校日新館の施設で今に残る唯一の遺構,白虎隊の少年達も文武を学んだ藩校日新館は戊辰戦争で焼失し天文台跡が今に残る唯一の遺構です。基底12間余、台上方5間半、高さ3間半で、天文学習の観測場でした。天文学の授業でどれほど実測用に活用されたか不明ですが、冬至の日には、暦学家や天文師範などが集まって、明年の雲気候や、晴雨考を編んで官に提出しました。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0875,福島県会津若松市米代1-1-55 付近,,,,,,,路線バス「鶴ヶ城西口」下車、徒歩3分　まちなか周遊バス　ハイカラさん・あかべぇ「鶴ヶ城入口」下車、徒歩10分,,,,,37.489419,139.92427
蚕養国神社,コガイクニジンジャ,https://www.aizukanko.com/spot/40,養蚕守護の神。紅葉の名所。,御神徳養蚕守護の神として広く知られ、農、工、商、諸業繁栄、交通安全守神として信仰されています。境内の紅葉は、秋になるととても鮮やかな朱色に染まり、参拝に来た観光客の心を奪います。入口から歩いて進むと石の鳥居が立っており、さらに参道の途中にも赤い鳥居があります。またその奥にも寛弘七年（1010年）に植えられたと伝えられる御神木の峰張桜があり、観光客の記念撮影スポットになっています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0023,福島県会津若松市蚕養町2-1,0242-37-3166,,,,,http://www13.plala.or.jp/kogaikunijinja/,,,,,,37.504687,139.939041
神指城跡,コウザシジョウアト,https://www.aizukanko.com/spot/147,上杉景勝が徳川家康の会津征伐に備えて計画した未完の城跡,慶長５年(１６００)会津領主上杉景勝は、鶴ヶ城の立地が山に近いことを危惧し、周囲が開けていて大川の水を利用できる神指原（こうざしはら）の地に築城を始めました。　しかし、この築城工事が徳川家康に上杉征伐の口実を与え、数ヵ月後の６月１０日、家康の会津征伐が間近に迫ったことから工事は中止。神指城は工事途中のまま残され幻の城となりました。　面積は鶴ヶ城の役２倍の５５ｈａ。完成すれば奥州を代表する巨大城郭が出現するはずだった神指城ですが、現在では二の丸の一部と本丸跡をわずかに残すのみです。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0063,福島県会津若松市神指町高瀬,,,,,,,（バス）路線バス「黒川」下車、徒歩15分　（車）　磐越自動車道　会津若松ＩＣより約10分,,,,道路が狭いので大型バスはご遠慮下さい。,37.513551,139.895734
西郷頼母邸跡,サイゴウタノモテイアト,https://www.aizukanko.com/spot/143,幕末の会津藩家老「西郷頼母（たのも）」ゆかりの地,西郷頼母邸跡が鶴ヶ城正面の追手町にあります。西郷家は重臣（藩祖以来）で戊辰戦争の際の当主は国家老1700石の西郷頼母近悳(ちかのり)でした。頼母は田中土佐と共に会津藩主松平容保に京都守護職辞退を進言しました。そのため容保公から怒りを買い、家老職を解任されました。戊辰戦争がおこると、家老職に復帰し、白河口総督として、戦いますが、「白河口の戦い」で敗れ、会津へ戻ります。その後、長男・吉十郎を連れて会津から脱出します。西軍が城下町に乱入したとき、家族ら21人は、屋敷の中で辞世の句を残して自決しました。妻・千重子の辞世の歌｢なよたけの碑｣は墓とともに善龍寺に建っています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0873,福島県会津若松市追手町,,,,,,,まちなか周遊バス　ハイカラさん・あかべぇ「北出丸大通り」下車、徒歩1分,,,,,37.490421,139.93049
小田山公園,オダヤマコウエン,https://www.aizukanko.com/spot/141,戊辰戦争で西軍が鶴ヶ城へ砲撃した場所,鶴ヶ城の南東2kmほどのところにある小高い山（372m）で通称小田山公園と呼ばれています。山麓には葦名家ゆかりの名刹古跡があり、山頂には会津藩名家老田中玄宰の墓があります。鶴ヶ城を見下ろせるこの地の利は、戊辰の役では新政府軍に利用され鶴ヶ城への砲撃場所となりました。また、東北側の山腹には、若松第65聯隊・第29聯隊の実弾射撃がありました。現在は公園として整備され、四季を通じて散策が楽しめます。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0822,福島県会津若松市花見ヶ丘三丁目,,,,,,,路線バス「花見が丘」から徒歩20分,,,,,37.48201,139.944406
おけいの墓,オケイノハカ,https://www.aizukanko.com/spot/473,日本人女性初のアメリカ移民「おけい」の墓,おけいは、会津藩軍事顧問のプロシア人、ヘンリー・スネル家の子守役でした。戊辰戦争後、スネルをリーダーとする会津藩士らとともにカリフォルニアに入植しましたが、開拓に失敗、移民団は離散してしまいました。残されたおけいは、アメリカ人に引き取られましたが、熱病にかかり、19歳の短い生涯を終えました。カリフォルニア州ゴールドヒルと同様の墓が背あぶり山にたてられています。,湊町エリア（猪苗代湖畔）,0,福島県会津若松市,,,4月下旬～11月末日(冬期間は背あぶり山までの県道閉鎖),,,,,,,,,37.475454,139.982386
蒲生氏郷の墓,ガモウウジサトノハカ,https://www.aizukanko.com/spot/144,会津若松の基礎を作った文武両道に優れた名将「蒲生氏郷」が眠ります・・・,いまに至る城下町の整備と産業を興した蒲生氏郷公の墓が会津若松市神明通りの東裏、興徳寺の本堂東側にあります。瑞雲山興徳寺は臨済宗妙心寺派の寺で、秀吉が奥羽仕置のため会津へきたとき三泊したほどの大寺院でした。墓は空風火水地の五文字を刻した五輪塔で、京都大徳寺の本墓から分骨したものと伝えられます。墓前には、「限りあれば吹かねど花は散るものを心短き春の山風」の辞世の歌碑があります。会津史談会が昭和28年に氏郷公360年祭を記念して建てたものです。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0871,福島県会津若松市栄町2-12,0242-22-2993,興徳寺,,,,,路線バス「神明通り」下車、徒歩2分　,,,,参詣自由,37.496414,139.928996
甲賀町口門跡（国指定史跡）,コウカマチグチモンアト,https://www.aizukanko.com/spot/145,若松城下をぐるりと囲む外堀と城内をむすぶ十六あった郭門（くるわもん）のうち、唯一現存する郭門の石垣です。,会津領主、蒲生氏郷（がもううじさと）は若松の町割りを行い、城下町を武士の住む郭内と町人の住む郭外とに分け、郭内と郭外の間は深い濠（外堀）と土塁で区切り16の郭門（かくもん）を設けました。この外濠は戊辰戦争後の明治4年に田畑にする条件で払い下げられほとんどが埋め立てられました。この甲賀町口の石垣はただ1つ残る郭門の一部です。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0871,福島県会津若松市栄町4-49付近,,,,,,--,まちなか周遊バス　ハイカラさん・あかべぇ「会津若松市役所」下車徒歩5分,,,,,37.496303,139.931864
大塚山古墳,オオツカヤマコフン,https://www.aizukanko.com/spot/41,古墳全域が国の史跡,大塚山山頂に立地する全長114メートルの前方後円墳。福島県内2番目の大きさを誇っています。古墳全域が国の史跡になっており、出土品も一括して国の重要文化財に指定されています。完成時期は四世紀前半と言われています。発掘された副葬品は、東北で初めて出土されたものが多く、現在でも東北では会津大塚山古墳でしか出土していないものもあります。鶴ヶ城内の展示室では、その副葬品の一部を見ることができます。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0003,福島県会津若松市一箕町八幡北滝沢228 ,,,,,,,,,,,,37.513028,139.944105
キリシタン塚,キリシタンヅカ,https://www.aizukanko.com/spot/149,会津のキリシタンの歴史を伝える,この塚には、寛永12年（1635年）12月17日以降，外人バテレンなど多数の　キリスト教信者が処刑されたと記されています。蒲生氏郷はレオ氏郷の洗礼名を持つキリシタン大名であったため、知行地であった若松･猪苗代・南会津郡山・三春・白岩・糖沢・二本松・福島にキリスト教が広まりました。しかし、寛永9年（1632年）会津藩15人，白河藩13人，二本松藩14人，若松藩42人のキリシタンが処刑されています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0064,福島県会津若松市神指町黒川字薬師川原,,,,,,,路線バス「神指農協前」下車、徒歩1分,,,,,37.507351,139.90944
妙国寺,ミョウコクジ,https://www.aizukanko.com/spot/39,白虎隊士の仮埋葬地,白虎隊士の飯盛山での自刃後、遺骸は埋葬を許されず、哀れに思った滝沢村の吉田伊惣治が、西軍の目を盗んで最初に埋葬した寺です。戊辰戦争のとき、会津藩が降伏後、藩主松平容保・親子が一ヶ月間謹慎した寺としても有名です。寺宝に日什上人直筆曼荼羅、釈迦涅槃像（刺しゅう）、田中正玄夫人使用什器などがあります。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0003,福島県会津若松市一箕町八幡墓料78,0242-25-3337,,,,,,,,,,,37.50787,139.948719
八葉寺,ハチヨウジ,https://www.aizukanko.com/spot/161,会津高野山とも呼ばれる由緒あるお寺。会津高野山参りや空也念仏踊りで有名,会津高野山とも呼ばれる由緒あるお寺で、中央にある阿弥陀堂は昭和２５年に国指定重要文化財・建造物に指定されました。空也上人により康保元年（964）に建立されたと伝えられ、文禄年間に再建されました。この地方には、古くから通称「木製五輪塔」と呼ばれる小さな塔に、亡くなられた親族の遺品などを入れて奉納し供養する、という今では全国でここだけに残る風習があり､一万四千点を超える五輪塔は、境内の舎利殿に納められています。８月の会津の高野山参り（会津地方に古く伝わる盆迎えの御参り）や空也念仏踊り（県重要無形民俗文化財指定）が有名です。,河東町エリア（会津の高野山・日新館）,969-3422,福島県会津若松市河東町広野冬木沢,0242-22-1689,金剛寺※八葉寺管理元,,,,,電車：ＪＲ磐越西線広田駅下車、タクシー５分、又は徒歩約１５分車：磐越自動車道・磐梯河東ＩＣを降り、国道４９号線経由約１０分,,,,境内拝観自由,37.562637,139.933089
清水屋旅館跡,シミズヤリョカンアト,https://www.aizukanko.com/spot/209,新選組副長土方歳三や吉田松陰等が宿泊した宿の跡,新選組副長土方歳三が滞在した宿。宇都宮城をめぐる攻防で足を負傷した土方歳三は、会津藩士秋月登之助が手配した当時格式の高かったこの宿屋に宿泊し、治療しました。このほか、1852年に吉田松陰が東北紀行の途中に宿泊しています。現在は大東銀行会津支店となっています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0042,福島県会津若松市大町一丁目1-38,,,,,,,まちなか周遊バス　ハイカラさん・あかべぇ「七日町白木屋」下車すぐ,,,,,37.498951,139.926086
善龍寺・奈与竹の碑,ゼンリュウジ・ナヨタケノヒ,https://www.aizukanko.com/spot/140,戊辰戦争で花と散った会津婦女子の精神,会津藩主・保科正之の会津入部とともに建立され、保科家の元祖筑前守正則の霊を守る保科家の菩提所として発展してきた寺です。家老西郷頼母の妻千重子の”なよたけの風にまかする身ながらもたわまぬ節はありとこそきけ”戊辰戦争で花と散った会津婦道の精神を示すこの有名な辞世を昭和３年、｢なよたけの碑｣として善龍寺に建立されました。碑陰には戊辰戦争で散った２３３名の会津藩の婦人名が刻まれています。　毎年５月１日に奈与竹墓前祭がおこなわれます。奥にある墓地には西郷頼母夫妻の墓や西郷邸で自決した「二十一人の墓」があります。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0824,福島県会津若松市北青木13-3,0242-26-3022,,,,,,路線バス「青木」から徒歩10分,,,,,37.479754,139.940903
中野竹子殉節碑,ナカノタケコジュンセツヒ,https://www.aizukanko.com/spot/158,戊辰に散った娘子隊軍隊長中野竹子の碑,戊辰戦争で、柳橋付近で奮戦し戦死した娘子隊軍隊長中野竹子の碑。 昭和１３年に会津若松市神指町黒川の湯川橋に建てられました。 出陣の際に薙刀に結び付けていたという辞世の句「武士(もののふ)の猛き心にくらぶれば数にも入らぬ我が身ながらも」が刻まれています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0064,福島県会津若松市神指町大字黒川街道西250付近,,,,,,,路線バス「黒川」下車、徒歩3分,,,,,37.511858,139.906237
西軍墓地,セイグンボチ,https://www.aizukanko.com/spot/45,薩摩、長州兵など150基の墓,大町の会津町方伝承館の近くにあり、戊辰戦争で会津に攻めてきた新政府軍のうち若松付近で戦死した将兵を埋葬しています。1868年の戊辰戦争では会津藩だけでなく、会津に来攻した新政府軍にも多くの犠牲者がでました。戦争で亡くなった薩摩、長州、大垣、肥州、備州など150名の人々が今も静かに眠っています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0042,福島県会津若松市大町2-1-5,0242-27-3637,東明寺,拝観自由,,無料,,,,,,,37.502121,139.927765
両堂不動尊,リョウドウフドウソン,https://www.aizukanko.com/spot/213,眼病に霊験あらたか。日本三所の不動明王と伝えられています。,古くは、不動堂と太子堂が並んでいたので 二堂村といわれています。 両堂の地名もこの二つの堂に由来しています。日本三所の不動明王と伝えられていますが、創建年代、 開山については定かでなく、 眼病に霊験あらたかで、伝説なども多く残っています。9月3日の例大祭には、夜店が並び賑わいを見せており、かつては、お籠り堂で願かけ籠りをしたり、玄如節のかけ合いなどをしたといいます。,,969-6180,福島県会津若松市北会津町両堂字宮の下,0242-58-2211,会津若松市北会津支所,,,,,(バス)ピカリン号「両堂前」下車( 車 )磐越自動車道、会津若松ＩＣから約２５分,,,,,37.475948,139.882414
白露庭,ハクロテイ,https://www.aizukanko.com/spot/237,遠州流庭園としても名高い会津藩家老・内藤家の屋敷跡,会津藩家老・内藤家の屋敷跡で遠州流庭園としても名高い。明治以後は裁判所の前庭となっているが、昔の家老邸の名庭だった面影をとどめている。ヒマラヤスギ、トウカエデの高木、ゴヨウマツ、キャラボク、ツツジ等の多種の中低木で構成されている。鶴ヶ城玄関口の歴史的にも貴重な緑地である。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0873,福島県会津若松市追手町6-6,,,,,,,まちなか周遊バス　ハイカラさん・あかべぇ「鶴ヶ城入口」下車、徒歩3分,,,,観覧自由,37.490549,139.930072
